Filename,CID,Job ID,Status,Created,Deal State,Deal Message,Piece CID,Miner
deplatformr-open-images-213.tar,QmNPumKQAtJXM3cgtihQU8AMpDvojEpZtwxRMe3cqHtS7S,99d771be-79cd-4a1e-bc43-82e8c3d9a164,JOB_STATUS_EXECUTING,2020-11-19 22:18:35
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqppo35spzudwqfad6qoscdleovvvuizvn7auwwfvnupdifirl36py,f022308
,,,,,StorageDealError,"sending proposal to storage provider failed: exhausted 5 attempts but failed to open stream, err: protocol not supported",baga6ea4seaqppo35spzudwqfad6qoscdleovvvuizvn7auwwfvnupdifirl36py,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqppo35spzudwqfad6qoscdleovvvuizvn7auwwfvnupdifirl36py,f022352
deplatformr-open-images-349.tar,Qmf2xWnxjvVtZo3wJdUZECWjJEojeqwszrTDPKxFFjJzKS,cb8108fe-dda9-4fde-9c3d-021945bd7425,JOB_STATUS_EXECUTING,2020-11-13 19:28:22
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqfr5wednnda7436rthiaqcgwjodltin2x655lz7s5iofeskkyuqoy,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqfr5wednnda7436rthiaqcgwjodltin2x655lz7s5iofeskkyuqoy,f022308
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqfr5wednnda7436rthiaqcgwjodltin2x655lz7s5iofeskkyuqoy,f022352
deplatformr-open-images-343.tar,QmZ1KN62eqBDxzLozQGgbDCvKPdeMRLs9e95n4m47g61o8,cd8417c7-76ed-4392-b9fa-a6fb31b12e42,JOB_STATUS_EXECUTING,2020-11-13 19:28:22
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqcqnrd262h4e3gr7gnesqjq6hjlee6ohmcieuhqlknaku6jl23cmq,f02665
,,,,,StorageDealActive,,baga6ea4seaqcqnrd262h4e3gr7gnesqjq6hjlee6ohmcieuhqlknaku6jl23cmq,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqcqnrd262h4e3gr7gnesqjq6hjlee6ohmcieuhqlknaku6jl23cmq,f022308
deplatformr-open-images-366.tar,QmZFr1gVYj6W7hqhLa1FhrsecbxAEJyefBDr5WcFD3sZye,f5b76fb4-f6a9-4102-8885-a93aff4163f2,JOB_STATUS_EXECUTING,2020-11-15 04:04:43
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqpttcboc5zs5umda75n4s5t7z2pfhyp4hajap4w7w2r3s72lzxqoi,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqpttcboc5zs5umda75n4s5t7z2pfhyp4hajap4w7w2r3s72lzxqoi,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqpttcboc5zs5umda75n4s5t7z2pfhyp4hajap4w7w2r3s72lzxqoi,f022308
deplatformr-open-images-248.tar,Qme3SUQMEAymamiN4GM6HdSce6xoZSsLDbeeYqkF4JC2b8,dbfd5f38-0921-492d-abdd-301a7a5aeed2,JOB_STATUS_EXECUTING,2020-11-06 04:09:28
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqlp32reztdz7bqhge2mewqk6dkmtyn6n7iyt4ujyxyrj5h572cmcq,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqlp32reztdz7bqhge2mewqk6dkmtyn6n7iyt4ujyxyrj5h572cmcq,f022308
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqlp32reztdz7bqhge2mewqk6dkmtyn6n7iyt4ujyxyrj5h572cmcq,f022352
deplatformr-open-images-346.tar,QmR2RsFMbs5iDDUTVHpkq2ANiT28NiFbFCUYazGtTwMCDw,118784f5-c9d3-42e9-9e2f-eda9b1185330,JOB_STATUS_EXECUTING,2020-11-13 19:27:43
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqgjikjgkf5d2i46p5mn2zvp47petzfoz5wsbwkdv5eazrdlr4gegy,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqgjikjgkf5d2i46p5mn2zvp47petzfoz5wsbwkdv5eazrdlr4gegy,f022308
deplatformr-open-images-400.tar,QmWAQruQNzLPMUF5iK1NUYMXcTayJaiowU8VtPQUNFGnuq,3139eb0e-ce17-4f8a-8599-0b4baf1929d7,JOB_STATUS_EXECUTING,2020-11-19 22:18:41
,,,,,StorageDealError,"sending proposal to storage provider failed: exhausted 5 attempts but failed to open stream, err: dial backoff",baga6ea4seaqh4sxlgjyngtnkk3dpr6l4kkl6vhnao3frvefw3aaepfhweb6jmni,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqh4sxlgjyngtnkk3dpr6l4kkl6vhnao3frvefw3aaepfhweb6jmni,f022308
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqh4sxlgjyngtnkk3dpr6l4kkl6vhnao3frvefw3aaepfhweb6jmni,f022352
deplatformr-open-images-401.tar,QmeVA9w3rj88zYg2DBKVcwagsLw4oMHBbDrDYnq2hk7MnV,3861387c-7015-4c04-862c-8a2d5f5df94f,JOB_STATUS_EXECUTING,2020-11-19 19:36:45
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqompbtcuedfag5gqhwsqwglf7me5iqjjshdfw47utp3ofqgwaoacy,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqompbtcuedfag5gqhwsqwglf7me5iqjjshdfw47utp3ofqgwaoacy,f022308
,,,,,StorageDealActive,,baga6ea4seaqompbtcuedfag5gqhwsqwglf7me5iqjjshdfw47utp3ofqgwaoacy,f022352
deplatformr-open-images-344.tar,QmPkHaHddznkctJHRGoGFdBfyP9dnEEcKUaBKXUSC5BzXa,7af8fefe-d3d1-48e0-9410-a1df2bcb147c,JOB_STATUS_EXECUTING,2020-11-13 19:28:21
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqcne5tzvx5n24kpyu4aqcsiqz3sqquvbehryu6ovdcnz7ael2guki,f022308
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqcne5tzvx5n24kpyu4aqcsiqz3sqquvbehryu6ovdcnz7ael2guki,f022352
deplatformr-open-images-375.tar,QmVnsHADG2hRqYbvKef2WbbJ1GYZyAbsfFWU9WSw9jksTe,af6e8227-3fd8-4bad-9b4c-110aafe2945c,JOB_STATUS_EXECUTING,2020-11-15 19:43:41
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqfnrga6urh5xihxvyjv4lywtbakckeki6osabwn4qy2p6ywfntcfq,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqfnrga6urh5xihxvyjv4lywtbakckeki6osabwn4qy2p6ywfntcfq,f022308
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqfnrga6urh5xihxvyjv4lywtbakckeki6osabwn4qy2p6ywfntcfq,f02665
deplatformr-open-images-398.tar,QmbBKnzZDbyi2Rb2PJDUE9TfNomdauw7sPH51w2tZZpLe1,bb082b75-47dc-4dfc-9f9e-eb3dcdbac5b2,JOB_STATUS_EXECUTING,2020-11-18 02:52:23
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqo4dkcj7jaymr6ur2zfx632qnmm2r44kyu56ibqzeztgizg6zjkaq,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqo4dkcj7jaymr6ur2zfx632qnmm2r44kyu56ibqzeztgizg6zjkaq,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqo4dkcj7jaymr6ur2zfx632qnmm2r44kyu56ibqzeztgizg6zjkaq,f022308
deplatformr-open-images-410.tar,QmQuvCkMjnc8T7Hz99ieWsLNDZbbENmQGE1SisqgzHUzG8,cba35c0f-9235-4103-9d3b-fd974ce99f78,JOB_STATUS_EXECUTING,2020-11-19 19:38:31
,,,,,StorageDealActive,,baga6ea4seaqaqkjt5fe2pl75zqfc2wmuldihnuo4lmdzxbfembwzr7mdjkbvspa,f022352
,,,,,StorageDealTransferring,,baga6ea4seaqaqkjt5fe2pl75zqfc2wmuldihnuo4lmdzxbfembwzr7mdjkbvspa,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqaqkjt5fe2pl75zqfc2wmuldihnuo4lmdzxbfembwzr7mdjkbvspa,f022308
deplatformr-open-images-218.tar,QmcCNW8cnw6Q2bUgKEqSJmBYzYxY9PWjs8qf3A7VymRXyH,fd1c9c49-2b03-4eb7-afac-6da8035b0dda,JOB_STATUS_EXECUTING,2020-11-05 18:49:06
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqj2ccldewcuv7h67o5sck2dsuxb4scai46bvgisj7yi6eeryrj6kq,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqj2ccldewcuv7h67o5sck2dsuxb4scai46bvgisj7yi6eeryrj6kq,f022308
