f01279  |        1000000000000 |            256 |    150546 |  236946  
f023561 |            100000000 |            256 |    148578 |  234978  
f039235 |              5000000 |        1048576 |    157636 |  244036  
f08242  |            500000000 |            256 |    139524 | 1139524  
f019362 |              1000000 |            256 |    156507 | 1207707  
f023660 |      152177800000000 |      268435456 |    160350 |  246750  
f024066 |            500000000 |            256 |    142831 | 1142831  
f03222  |            500000000 |            256 |    139501 | 1139501  
f020742 |            100000000 |            256 |    146897 | 1198097  
f010446 |            500000000 |            256 |    160638 |  247038  
f014472 |            500000000 |            256 |    152717 | 1152717  
f023649 |            500000000 |            256 |    142373 | 1142373  
f09589  |         100000000000 |      268435456 |    148032 |  234432  
f07998  |             50000000 |            256 |    157773 |  244173  
f039800 |            500000000 |            256 |    160776 |  247176  
f023627 |            500000000 |            256 |    153272 | 1153272  
f08371  |              5200000 |            256 |    157720 |  244120  
f033557 |            500000000 |            256 |    155008 | 1155008  
f01291  |            100000000 |       67108864 |    152365 |  238765  
f015877 |         100000000000 |            256 |    140045 | 1191245  
f08207  |            500000000 |            256 |    144371 | 1144371  
f018785 |         100000000000 |            256 |    148132 | 1199332  
f022374 |            500000000 |            256 |    153278 | 1153278  
f024550 |            500000000 |            256 |    147210 | 1147210  
f02625  |           1000000000 |            256 |    142901 |  229301  
f01782  |          10000000000 |            256 |    158865 |  245265  
f023534 |                    0 |            256 |    159846 |  246246  
f09737  |            500000000 |            256 |    149204 | 1149204  
f033545 |            500000000 |            256 |    148395 | 1148395  
f019551 |            500000000 |            256 |    153440 | 1153440  
f02492  |            500000000 |            256 |    154222 | 1154222  
f024800 |         100000000000 |         131072 |    159627 |  246027  
f038299 |         100000000000 |          57344 |    160636 |  247036  
f02501  |         100000000000 |            256 |    158118 | 1209318  
f08474  |            100000000 |            256 |    150450 | 1201650  
f021265 |         500000000000 |            256 |    160995 |  247395  
f010254 |            300000000 |      134217728 |    156547 |  242947  
f020523 |         100000000000 |            256 |    143315 |  229715  
f02633  |         100000000000 |            256 |    148112 | 1199312  
f023581 |            100000000 |      134217728 |    159284 |  245684  
f015942 |            500000000 |            256 |    152527 | 1152527  
f03224  |        1000000000000 |            256 |    150823 |  237223  
f02613  |                    0 |            256 |    144966 |  231366  
f023971 |         100000000000 |      134217728 |    140293 |  226693  
f010202 |            500000000 |            256 |    146115 | 1146115  
f030284 |            500000000 |            256 |    140674 | 1140674  
f023939 |          10000000000 |            256 |    157677 |  244077  
f022522 |         100000000000 |            256 |    158003 |  244403  
f024184 |           1000000000 |            256 |    158565 |  244965  
f014699 |            500000000 |            256 |    151561 | 1151561  
f02490  | -4570789518076018688 |            256 |    154106 |  240506  
f021339 |            500000000 |            256 |    140403 | 1140403  
f02576  |          50000000000 |        1048576 |    158317 |  244717  
f034084 |            500000000 |            256 |    154497 | 1154497  
f09825  |            500000000 |            256 |    148030 | 1148030  
f010399 |            100000000 |            256 |    156149 | 1207349  
f023859 |      152177800000000 |      268435456 |    160349 |  246749  
